Timestamp, Age, Gender, Educational Status, Data Breach Experience, Scam Recognition Confidence, Use of Strong Passwords, Use of 2FA, Reviewing Social Media Privacy, Reviewing Smartphone Privacy, Checking App Privacy Policy, Familiarity with Data Protection Laws, Action if Data Shared Without Consent, Advocacy for Privacy Practices, Preferred Learning Methods, Awareness of University's Privacy Statement, Understanding University's Data Use
2023-11-01, 18-24, Female, Undergraduate, Yes, Somewhat confident, Often, Yes, Monthly, Rarely, No, Somewhat familiar, Contact authorities, Yes, Workshops, Yes, Somewhat confident
2023-11-02, 25-34, Male, Graduate, No, Very confident, Always, Yes, Never, Never, Yes, Very familiar, Change passwords, No, Online Articles, No, Not confident
2023-11-03, 18-24, Male, Undergraduate, Yes, Not confident, Rarely, No, Rarely, Occasionally, No, Not familiar, Nothing, Yes, University Resources, Yes, Very confident
2023-11-04, 25-34, Female, Graduate, No, Somewhat confident, Always, Yes, Monthly, Monthly, Yes, Very familiar, Report to Police, No, Interactive Scenarios, Yes, Very confident
2023-11-05, 18-24, Prefer not to say, Undergraduate, Yes, Very confident, Often, No, Rarely, Never, No, Somewhat familiar, Block it, Yes, Online Articles, No, Somewhat confident
2023-11-06, 25-34, Female, Alumni, No, Not confident, Rarely, Yes, Never, Occasionally, Yes, Not familiar, Ignore it, No, University Resources, Yes, Not confident
2023-11-07, 18-24, Male, Undergraduate, Yes, Very confident, Always, No, Daily, Daily, No, Very familiar, Contact authorities, Yes, Workshops, No, Very confident
2023-11-08, 25-34, Prefer not to say, Graduate, No, Somewhat confident, Often, Yes, Rarely, Rarely, Yes, Somewhat familiar, Change passwords, No, Online Articles, Yes, Somewhat confident
2023-11-09, 18-24, Female, Undergraduate, Yes, Not confident, Never, No, Occasionally, Never, No, Not familiar, Nothing, Yes, Interactive Scenarios, No, Not confident
2023-11-10, 25-34, Male, Alumni, No, Very confident, Always, Yes, Monthly, Monthly, Yes, Very familiar, Report to Police, No, University Resources, Yes, Very confident
2023-11-11, 18-24, Female, Graduate, Yes, Somewhat confident, Often, No, Rarely, Occasionally, Yes, Somewhat familiar, Block it, Yes, Workshops, No, Somewhat confident
2023-11-12, 25-34, Male, Undergraduate, No, Not confident, Rarely, Yes, Never, Never, No, Not familiar, Ignore it, No, Online Articles, Yes, Not confident
